tabla,id,activo_antes
institutions_catalog,678b20d4-c359-47ec-a3a0-43d607cdf425,False
institutions_catalog,69c241f2-fc2c-460d-98b1-5bd75a55acfa,False
institutions_catalog,f00d9761-593b-4412-9428-aab09659c349,False
institutions_catalog,af5ca07c-9997-4c93-be72-f7e40e4d2c5b,False
institutions_catalog,8fce0aec-f71e-4e76-b104-2671e36ac6a7,False
institutions_catalog,fff30f91-cfe8-4fb2-ad7f-60e33891f1ed,False
institutions_catalog,072a0ca6-b2b8-40cd-9e04-4743a09fac5d,False
institutions_catalog,d638f6cc-90ae-49d2-aae0-d2ba18d8b2c7,False
institutions_catalog,f3b6c7f9-cc56-44bc-aa16-e8da05bb3d44,False
institutions_catalog,d86918e4-e2dc-4606-9a8d-b6d32733be2c,False
institutions_catalog,6936b4cd-e7fe-477b-b963-90d0c8d13dab,False
institutions_catalog,0998f3e3-41c5-4f64-8773-80f7fe035e01,False
institutions_catalog,76d86ae4-99d5-478a-b7ce-7cb6f9574338,False
institutions_catalog,16ebeb4b-74cb-4567-aa10-11fa415a58b9,False
institutions_catalog,e22c09d1-edcd-46e7-89e0-6753fd2cce3c,False
institutions_catalog,65358cf2-b40e-4497-9f32-228ce72c49ba,False
institutions_catalog,f165801f-d1f9-4c31-9479-3d4785d382c6,False
institutions_catalog,5ce9fcf0-40a2-4c4d-8556-c99388db4d8c,False
institutions_catalog,00be78a3-872c-444b-aab3-f2238bf00195,False
institutions_catalog,f078e6fd-d096-432e-bd96-9a1208352af2,False
institutions_catalog,306bd376-27bd-485f-8600-0f5bc38c7bea,False
institutions_catalog,0a8b7e16-ea35-4a85-9987-3f733b1d8fd1,False
institutions_catalog,973b4c4a-54f2-41ac-ad98-ff4ea79dcad5,False
institutions_catalog,a3ad86ec-a1bb-4e04-aa95-c7cd35d35a41,False
institutions_catalog,f45a56b4-7a62-4675-935a-b50c3380dfa0,False
institutions_catalog,32fb4104-7860-4ed8-9b88-0155bd8d14b9,False
institutions_catalog,55622013-7059-4b84-a123-6341f5366d4a,False
institutions_catalog,eaa19c33-63a4-4ddc-8989-3880ef8e1e61,False
institutions_catalog,1d4efb80-726a-4b81-bb54-f5ad65f5e454,False
institutions_catalog,1114c035-513a-46c5-85b5-62bed5120fde,False
institutions_catalog,80453609-546b-4e8c-ac4f-e019dd1566ff,False
institutions_catalog,7e2e9886-98c3-4e4d-bd91-5ac718ea4d8f,False
institutions_catalog,b4de359d-8b42-41cb-8eee-5625bcd77d35,False
institutions_catalog,3b8a67af-9ed0-4817-9a38-ad27c35e916d,False
institutions_catalog,07b8e0d5-9fd6-415f-b112-a08fc3c6c77a,False
institutions_catalog,62bda9ac-1522-4187-a218-89cfca190f66,False
institutions_catalog,d0f69d7b-0ac7-4e36-8920-58e50832c528,False
institutions_catalog,c1957e6e-ed77-4176-9f41-3452ada47b00,False
institutions_catalog,5910871d-933a-43ba-9691-d66e6cc86d57,False
institutions_catalog,956d2bac-37cf-42e9-a741-b9a658b302e6,False
institutions_catalog,fd9d62aa-e83d-4932-addc-0504c13a23e6,False
institutions_catalog,00527d61-4cee-4376-90ea-8d43f96feb12,False
institutions_catalog,25e6fbd7-4279-4b20-beaa-1284b056d513,False
institutions_catalog,9703e1e7-3776-453b-8ac7-d7a29cca47be,False
institutions_catalog,251dbffd-3b63-4af6-a274-3cdc3c67511f,False
institutions_catalog,850dd567-902c-4200-8fcc-81598623e2ab,False
institutions_catalog,dbd1ebd1-4675-4259-adcd-42884a0c5c0d,False
institutions_catalog,851af846-c61d-4e98-b16e-00c2d643a1df,False
institutions_catalog,8832c5fb-e883-44e6-98e1-c857776a77d9,False
institutions_catalog,5150c1d0-5ae0-4d01-8777-fe6d4f682adb,False
institutions_catalog,76aeeade-84f8-4a68-aee6-39805f60fa22,False
institutions_catalog,59e1ff14-bac8-48ef-b039-13ff716850e4,False
institutions_catalog,fcb0620e-e7f7-49cd-8117-abe17fbc1f4a,False
institutions_catalog,5ec5804d-7da3-45c1-8d8e-60f1f2bf2b73,False
institutions_catalog,100550bc-aa3f-4dfb-b52e-56c0a206f852,False
institutions_catalog,58a00a31-da0f-4e6c-ae17-8508a19bb814,False
institutions_catalog,fbfad677-7e19-4de7-a9d4-39f50aed2755,False
institutions_catalog,e358d9d8-2230-427b-80f5-6c459c5ebe83,False
institutions_catalog,6e3a98a1-23aa-4941-b401-d23d8da31544,False
institutions_catalog,0b5d3d44-f935-49b3-bf7a-12b4fa9cc383,False
institutions_catalog,5165510d-8456-439e-b6cf-295e9b143293,False
institutions_catalog,76a8a6d8-cc82-415e-a89e-c2045eb03578,False
institutions_catalog,d18627aa-e13b-4369-b6d4-b52f520c8c00,False
institutions_catalog,46b75128-ad77-4782-81a8-9ab52a7754ea,False
institutions_catalog,ac3afd0d-58f2-4128-9004-55d73bce74dd,False
institutions_catalog,249b6b54-265a-4588-a428-e7b4ad9a8b7c,False
institutions_catalog,ef766d65-b118-4d0f-9b27-7f485f0cb345,False
institutions_catalog,42bef7b1-ad4a-4bc0-8a7f-9dfd7e92f45e,False
